 
 
 
      statistics for   WA1       base value is:   60
 
            zeroes:    0         max:   59
           omitted:    0         min:    4        4   including zeros
        incomplete:    0        mean:   44.0     44.0 including zeros
      other grades:   93      median:   48       48   including zeros
      total grades:   93    std.dev.:   11.1     11.1 including zeros

 
      statistics for   MID       base value is:  100
 
            zeroes:    0         max:   94
           omitted:    0         min:   12       12   including zeros
        incomplete:    0        mean:   59.5     59.5 including zeros
      other grades:   93      median:   58       58   including zeros
      total grades:   93    std.dev.:   14.2     14.2 including zeros

        COMP 171 L1 ----- Fall 2005                                                                                                                                                                     
 
 
 
          id        WA1   MID
      ----------- ----- -----
      1651583        34    79
      1653050        42    38
      3393226        26    12
      3394995        57    57
      3426396        31    75
      3477072        33    51
      3739042        11    45
      4011291        34    58
      4019334        36    55
      4021210        54    65
      4068971        30    57
      4084729        25    60
      4110009        33    59
      4111845        46    65
      4148666        43    39
      4158051        29    53
      4185004         4    50
      4185327        42    34
      4185664        35    52
      4208363        33    62
      4291774        39    59
      4321634        25    51
      4364961        37    62
      4403262        43    93
      4404307        48    87
      4404539        49    86
      4404888        37    93
      4602454        31    44
      4619017        22    46
      4619299        50    62
      4681486        17    53
      5602487        44    51
      5603027        42    46
      5603716        41    33
      5603998        32    51
      5604007        36    55
      5606316        59    65
      5606574        55    78
      5606873        55    54
      5606902        53    58
      5606926        50    55
      5610288        53    57
      5610343        28    59
      5610549        51    63
      5610795        43    56
      5614985        50    48
      5615941        45    46
      5621005        54    70
      5622229        52    78
      5622231        53    94
      5622243        46    49
      5623314        57    64
      5680908        48    68
      5681017        55    53
      5681108        48    58
      5681287        55    64
      5681299        53    50
      5681689        50    56
      5682073        53    88
      5682542        53    88
      5684318        56    55
      5684904        50    53
      5685001        56    68
      5685219        44    63
      5685233        53    61
      5686110        26    57
      5686495        50    47
      5686914        52    76
      5687205        41    62
      5687944        48    71
      5687982        40    54
      5688041        49    47
      5688106        48    48
      5688326        46    35
      5688467        55    66
      5688510        53    43
      5688534        56    71
      5688572        48    43
      5688780        39    58
      5689473        54    69
      5689526        46    70
      5689693        44    50
      5689784        56    59
      5689825        41    56
      5689887        49    55
      5689954        55    61
      5690331        55    53
      5690496        57    55
      5691866        48    72
      5692834        38    72
      5693096        57    84
      5693723        58    69
      5694337        38    76
 
 
 
      WA1=written assignment 1 MID=midterm                                                                                                                                                              

 
 
 

