ID	        HW1	    Quota
20018118	90	
20018259	92	
20018716	80	
20019174	92	
20025109	98	
20026270	100	
20035661	100	
20040472	100	    Used
20093687	93	
20094473	98	
20094485	100	
20095013	72	
20095166	92	
20095312	84	
20095532	90	
20096653	85	
20098572	100
20098974	97
20100155	100
20103341	0?	
20106616	95	
20107610	86	
20107995	92	
20108937	100	
20110033	96	
20112586	87	
20112794	68	
20113023	75	
20113633	77	
20114273	87	
20115447	71	
20117029	91	
20117275	82	
20118047	65	
20119077	95	
20119118	85	
20120416	73	
20122062	87	
20124979	88	    Used
20125820	92	
20126795	98	
20136790	91	
20137744	89	
20137782	94	
20157770	100	
20161410	84	
20162816	100	
20236796	95	
20254712	90	
20285591	90	    Used
