 
 
 
      statistics for   WA1       base value is:   60
 
            zeroes:    0         max:   59
           omitted:    0         min:    4        4   including zeros
        incomplete:    0        mean:   44.0     44.0 including zeros
      other grades:   93      median:   48       48   including zeros
      total grades:   93    std.dev.:   11.1     11.1 including zeros

 
      statistics for   PA1       base value is:  100
 
            zeroes:    3         max:  100
           omitted:    0         min:   10        0   including zeros
        incomplete:    0        mean:   69.4     67.1 including zeros
      other grades:   90      median:   74       73   including zeros
      total grades:   93    std.dev.:   21.2     24.2 including zeros

 
      statistics for   MID       base value is:  100
 
            zeroes:    0         max:   95
           omitted:    0         min:   12       12   including zeros
        incomplete:    0        mean:   60.0     60.0 including zeros
      other grades:   93      median:   58       58   including zeros
      total grades:   93    std.dev.:   14.2     14.2 including zeros

 
      statistics for   WA2       base value is:   80
 
            zeroes:    2         max:   80
           omitted:    0         min:   17        0   including zeros
        incomplete:    0        mean:   64.2     62.8 including zeros
      other grades:   91      median:   69       68   including zeros
      total grades:   93    std.dev.:   13.2     16.0 including zeros

 
      statistics for   PA2       base value is:  100
 
            zeroes:    0         max:  100
           omitted:    0         min:    2        2   including zeros
        incomplete:    0        mean:   76.5     76.5 including zeros
      other grades:   93      median:   88       88   including zeros
      total grades:   93    std.dev.:   29.2     29.2 including zeros

 
      statistics for   PA3       base value is:  100
 
            zeroes:    9         max:  100
           omitted:    0         min:   20        0   including zeros
        incomplete:    0        mean:   83.5     75.4 including zeros
      other grades:   84      median:   91       91   including zeros
      total grades:   93    std.dev.:   22.8     32.8 including zeros

        COMP 171 L2 ----- Fall 2005                                                                                                                                                                     
 
 
 
          id        WA1   PA1   MID   WA2   PA2   PA3
      ----------- ----- ----- ----- ----- ----- -----
      01651583       34    50    79    61    94    91
      01653050       42    30    38    54    22    20
      03393226       26     0    12     0     2     0
      03394995       57    91    57    43    88    20
      03426396       31    87    75    63    66    98
      03477072       33    34    51    41    56     0
      03739042       11    24    45    61   100   100
      04011291       34    49    58    67    27     0
      04019334       36    42    55    37    22     0
      04021210       54    91    65    76    82    91
      04068971       30    28    57    60    85    28
      04084729       25    66    60    36    96    80
      04110009       33     0    59    56    70     0
      04111845       46    91    65    55    80     0
      04148666       43    95    45    51    65   100
      04158051       29    84    53    68    74    20
      04185004        4    47    50    59    41   100
      04185327       42    46    34    23    22    20
      04185664       35    91    52    35    22    20
      04208363       33    49    62    47    22    37
      04291774       39    57    59    56    37     0
      04321634       25     0    51    42    22    37
      04364961       37    85    62    17     2   100
      04403262       43   100    95    76    92    82
      04404307       48    94    88    75    92    92
      04404539       49    64    86    71    96    82
      04404888       37   100    93    75   100    92
      04602454       31    22    44    54     2     0
      04619017       22    60    48    60    98    91
      04619299       50    59    62    69    22    82
      04681486       17    91    53     0     2     0
      05602487       44    78    51    68    98    86
      05603027       42    47    46    66    96    64
      05603716       41    59    33    62    76    82
      05603998       32    31    51    66    90    82
      05604007       36    57    55    74    82    37
      05606316       59    78    65    74    96    82
      05606574       55    85    78    73    96   100
      05606873       55    80    54    69    96    82
      05606902       53    74    58    74   100   100
      05606926       50    74    62    76    96    91
      05610288       53    85    60    70    88   100
      05610343       28    66    59    58    70    46
      05610549       51    88    63    78    98    91
      05610795       43    61    56    80    80   100
      05614985       50    76    48    79   100   100
      05615941       45    76    46    70    96    76
      05621005       54    96    70    26    94    86
      05622229       52    61    78    70    98   100
      05622231       53   100    94    76    98    91
      05622243       46    74    60    64    98    91
      05623314       57   100    75    73   100   100
      05680908       48    96    68    67   100    91
      05681017       55    51    53    70    90    82
      05681108       48    36    58    71    87   100
      05681287       55    82    64    77    86    91
      05681299       53    78    50    77    88    82
      05681689       50    50    56    66    88    82
      05682073       53    97    88    76   100   100
      05682542       53    84    88    75    96    91
      05684318       56    64    55    69    22    55
      05684904       50    45    53    75    86    98
      05685001       56    85    68    70    84   100
      05685219       44    95    63    71   100    91
      05685233       53    63    61    64    84   100
      05686110       26    10    57    65    95    91
      05686495       50    70    47    73    98   100
      05686914       52    49    76    72    92    91
      05687205       41    60    62    36     2   100
      05687944       48    68    71    56    72    98
      05687982       40    95    54    72    90   100
      05688041       49    84    47    71    89   100
      05688106       48    58    48    66    64    91
      05688326       46    41    35    55    74   100
      05688467       55    79    66    78   100   100
      05688510       53    55    43    69    84   100
      05688534       56    95    71    75    92   100
      05688572       48    80    43    72    98    91
      05688780       39    51    58    63    98    64
      05689473       54    87    69    51    96   100
      05689526       46    89    70    75   100    91
      05689693       44    39    50    72    98   100
      05689784       56    93    59    57    96    91
      05689825       41    80    56    74    72    82
      05689887       49    73    55    73    84   100
      05689954       55    82    61    69    66    91
      05690331       55    67    53    76    96    91
      05690496       57    79    55    69   100    91
      05691866       48    85    72    75    98    91
      05692834       38    60    72    67    37    91
      05693096       57    72    84    68    82    91
      05693723       58    81    69    62    83    46
      05694337       38    63    76    67    98   100
 
 
 
      WA1=written assignment  PA1=programming assignment 1 MID=midterm WA2=written assignment 2 PA2=programming assignment 2 PA3=programming assignment 3                                               

 
 
 
