Each bidder program is tested/competed against each other's program in this class plus RANDOM (one of the sample bidders) for the five different allowable bids:
   [0,1]
   {0.3,0.6} (prisoner's dilemma)
   {0.3,0.6,0.7} (exactly one Nash equilibrium
   {0.3,0.6,0.9} (two Nash equilibria)
   {0,1/100000,...,99999/100000,1}

Each game (with the same opponent and setup.txt) consists of 100 rounds. For each bidder program, the scores achieved in every game it participates are accumulated as its final score. You may find your program's score below. The corresponding mark for this project is sent by e-mail individually.

Note: For those who gets negative scores, that means your program always (or most of the time) bids illegally.


STU ID:	  Project1 Score	Project2(optional) 	Remarks on Project2
20101355: 2236.679435,		2968.66960455		Submitted and better!	
20105662: 4272.18842,		3953.01405		Submitted
20122062: 2960.034293,		2980.58861773		Submitted but better less than 5%!
20137897: 5915.40589128,	5435.10442867
20162763: 6004.9627715,		5652.52451538
20093687: 3398.07917116,	2839.45242605		Submitted
20094485: 5114.65454415,	5514.20451398		Submitted and better!
20097762: 2168.91596042,	2302.95200156
20098572: 5664.58920277,	2263.61253446		Submitted
20107995: 3830.62096302,	3469.56797738		Submitted
20126422: 2289.614605,		2292.29104545
20286052: 2154.10000245,	2217.0000021
08529337: 3555.66899764,	3265.92999909
20025836: 6351.536781,		5329.595035		Submitted
20026165: 4854.474629,		4857.03213626
20093728: 3683.213085,		3514.69710455
20096653: 6535.09667956,	6028.00993265
20097114: 5869.156408,		5679.96104465
20097657: 2299.15,		2279.0
20098974: 3033.20098093,	2762.19748318
20101484: 5948.323339,		5523.30794718
20106599: 5009.32685,		5093.55245991		Submitted but better less than 5%
20107878: 3266.775578,		3238.59368909
20112108: 5748.489598,		5495.45954636
20113578: 2276.15,		2302.13636364
20113619: 4491.31408461,	3763.78219459		Submitted
20113633: 3065.252035,		3026.17154091
20115320: 2809.0452415,		5096.40717695		Submitted and better!
20116398: 3493.563727,		3374.67630727
20118059: 5909.7385975,		5607.44988938
20118140: 6162.3024485,		5756.76416318
20118839: 2817.75494385,	2788.16897587
20118891: 5679.71052583,	5028.42849188		Submitted
20120167: 3654.15,		3422.77272727
20122206: 5324.99855,		5070.93822688
20123315: 1921.75,		2176.18181818
20124125: 3111.10907497,	3060.25264616		Submitted
20125105: 1544.972745,		2539.28456923		Submitted and better!
20126202: 4082.1971835,		4126.50585591
20126939: -17977.544218,	-18197.7734064		Submitted
20137782: 5601.4856805,		5222.28368893
20161458: 3287.13862374,	5362.36074636		Submitted and better!
20169400: 7865.5634985,		6871.51858271		Submitted
20176934: 5028.69232832,	4902.79465019
20254712: 4165.80192,		3639.2930132
20285242: 3789.05962346,	3523.30504289
20286090: 2157.9042015,		2103.85627864
20026452: 6745.57716753,	4132.38957644		Submitted
20038950: -18254.078071,	-18325.8469836
20040472: 3809.06373126,	3821.63686529
20112524: 2235.32423533,	2175.22727273		Submitted
20285553: 0,			2105.07044682		Submitted and better!
20025331: 0,			5715.36464902		Submitted and better!
20123614: 0,			-2656.04545455		Submitted
20285709: 3624.19048367,	4225.72134987		Submitted and better!
20284963: 4766.29830422,	4588.39274011
20254475: 3578.3920332,		3694.2424325
20113798: 3120.28839205,	3029.24753693		
20025915: 6038.78294666,	5993.25783394	
