ID	Total						
20018118	78						
20018259	73						
20018716	88						
20019174	68						
20025109	81						
20026270	89						
20035661	78						
20040472	75						
20093687	73						
20094473	50						
20094485	78						
20095013	74						
20095166	68						
20095312	75						
20095532	56						
20096653	64						
20098572	51						
20098974	60						
20100155	86						
20103341	58						
20106616	65						
20107610	55						
20107995	57						
20108937	86						
20110033	70						
20112586	73						
20112794	41						
20113023	82						
20113633	59						
20114273	31						
20115447	65						
20117029	74						
20117275	45						
20118047	41						
20119077	60						
20119118	65						
20120416	66						
20122062	79						
20124979	63						
20125820	65						
20126795	81						
20136790	46						
20137744	52						
20137782	71						
20157770	98						
20161410	78						
20162816	95						
20236796	90						
20254712	70						
20285591	91						
							
AVG	68.74						
STD	14.95136333						
MAX	98						
MIN	31						
